,COIN,Platform,,,,
,ZRX,Coinbase,,,,
,1INCH,Coinbase,,,,
,AAVE,Coinbase,,,,
,AGLD,Coinbase,,,,
,ACH,Coinbase,,,,
,ALGO,Coinbase,,,,
,AMP,Coinbase,,,,
,FORTH,Coinbase,,,,
,ANKR,Coinbase,,,,
,ARPA,Coinbase,,,,
,ASM,Coinbase,,,,
,REP,Coinbase,,,,
,AVAX,Coinbase,,,,
,AXS,Coinbase,,,,
,BADGER,Coinbase,,,,
,BAL,Coinbase,,,,
,BNT,Coinbase,,,,
,BAND,Coinbase,,,,
,BOND,Coinbase,,,,
,BAT,Coinbase,,,,
,BTC,Coinbase,,,,
,BCH,Coinbase,,,,
,AUCTION,Coinbase,,,,
,BTRST,Coinbase,,,,
,ADA,Coinbase,,,,
,CTSI,Coinbase,,,,
,CELO,Coinbase,,,,
,LINK,Coinbase,,,,
,CHZ,Coinbase,,,,
,CVC,Coinbase,,,,
,CLV,Coinbase,,,,
,COMP,Coinbase,,,,
,ATOM,Coinbase,,,,
,COTI,Coinbase,,,,
,CRV,Coinbase,,,,
,DAI,Coinbase,,,,
,DASH,Coinbase,,,,
,MANA,Coinbase,,,,
,DDX,Coinbase,,,,
,YFII,Coinbase,,,,
,DNT,Coinbase,,,,
,DOGE,Coinbase,,,,
,ENJ,Coinbase,,,,
,MLN,Coinbase,,,,
,EOS,Coinbase,,,,
,ETC,Coinbase,,,,
,ETH,Coinbase,,,,
,FET,Coinbase,,,,
,FIL,Coinbase,,,,
,FX,Coinbase,,,,
,GTC,Coinbase,,,,
,GNT,Coinbase,,,,
,FARM,Coinbase,,,,
,ZEN,Coinbase,,,,
,RLC,Coinbase,,,,
,ICP,Coinbase,,,,
,IOTX,Coinbase,,,,
,JASMY,Coinbase,,,,
,KEEP,Coinbase,,,,
,KRL,Coinbase,,,,
,KNC,Coinbase,,,,
,LCX,Coinbase,,,,
,LTC,Coinbase,,,,
,LPT,Coinbase,,,,
,LOOM,Coinbase,,,,
,LRC,Coinbase,,,,
,MKR,Coinbase,,,,
,MASK,Coinbase,,,,
,MIR,Coinbase,,,,
,NKN,Coinbase,,,,
,NU,Coinbase,,,,
,NMR,Coinbase,,,,
,OMG,Coinbase,,,,
,OXT,Coinbase,,,,
,OGN,Coinbase,,,,
,TRAC,Coinbase,,,,
,ORN,Coinbase,,,,
,PAX,Coinbase,,,,
,PERP,Coinbase,,,,
,PLA,Coinbase,,,,
,DOT,Coinbase,,,,
,MATIC,Coinbase,,,,
,POLY,Coinbase,,,,
,QNT,Coinbase,,,,
,QUICK,Coinbase,,,,
,RAD,Coinbase,,,,
,RAI,Coinbase,,,,
,RLY,Coinbase,,,,
,RGT,Coinbase,,,,
,RARI,Coinbase,,,,
,REN,Coinbase,,,,
,REQ,Coinbase,,,,
,SHIB,Coinbase,,,,
,SKL,Coinbase,,,,
,SOL,Coinbase,,,,
,XLM,Coinbase,,,,
,STORJ,Coinbase,,,,
,SUKU,Coinbase,,,,
,SUSHI,Coinbase,,,,
,SNX,Coinbase,,,,
,TBTC,Coinbase,,,,
,TRB,Coinbase,,,,
,UST,Coinbase,,,,
,USDT,Coinbase,,,,
,XYZ,Coinbase,,,,
,GRT,Coinbase,,,,
,TRIBE,Coinbase,,,,
,TRU,Coinbase,,,,
,UMA,Coinbase,,,,
,UNI,Coinbase,,,,
,USDC,Coinbase,,,,
,WBTC,Coinbase,,,,
,WCFG,Coinbase,,,,
,WLUNA,Coinbase,,,,
,XYO,Coinbase,,,,
,YFI,Coinbase,,,,
,ZEC,Coinbase,,,,
